ID,stylo_filename,decade,title,author,gnd,forename,surename,birth_year,death_year,gender,filename,pubyear,genre,text_length,sorted_nationality,sources,timeslot,city,corpus
74,Paalzow_ThomasThyrnau.DritterTheil.txt,1840.0,Thomas Thyrnau. Dritter Theil,Henriette von Paalzow,http://d-nb.info/gnd/11601122X,Henriette,Paalzow,1788,1847,weiblich,Paalzow_ThomasThyrnau.DritterTheil.txt,1843.0,Roman,104021,Deutschland,https://www.projekt-gutenberg.org/paalzow/thyrnau3/thyrnau3.html,1780-1799,vienna,sunset
75,Paalzow_ThomasThyrnau.ZweiterTheil.txt,1840.0,Thomas Thyrnau. Zweiter Theil,Henriette von Paalzow,http://d-nb.info/gnd/11601122X,Henriette,Paalzow,1788,1847,weiblich,Paalzow_ThomasThyrnau.ZweiterTheil.txt,1843.0,Roman,96434,Deutschland,https://www.projekt-gutenberg.org/paalzow/thyrnau2/thyrnau2.html,1780-1799,vienna,sunset
76,Bahr_DieHexeDrut.txt,1920.0,Die Hexe Drut,Hermann Bahr,http://d-nb.info/gnd/118505955,Hermann,Bahr,1863,1934,männlich,Bahr_DieHexeDrut.txt,1929.0,Roman,129732,Deutschland; Österreich,https://www.projekt-gutenberg.org/bahr/hexedrut/hexedrut.html,1860-1879,vienna,sunset
77,Bahr_Leander_gutenberg.txt,1880.0,Leander,Hermann Bahr,http://d-nb.info/gnd/118505955,Hermann,Bahr,1863,1934,männlich,Bahr_Leander_gutenberg.txt,1899.0,Erzählung,67115,Deutschland; Österreich,https://www.projekt-gutenberg.org/bahr/leander/leander.html,1860-1879,vienna,sunset
78,Essig_DerTaifun_zeno.txt,1890.0,Der Taifun,Hermann Essig,http://d-nb.info/gnd/118531212,Hermann,Essig,1878,1918,männlich,Essig_DerTaifun_zeno.txt,1919.0,Roman,99556,Deutschland,"http://www.zeno.org/Literatur/M/Essig,+Hermann/Roman/Der+Taifun",1860-1879,berlin,sunset
79,Heiberg_CharaktereundSchicksale.txt,1900.0,Charaktere und Schicksale,Hermann Heiberg,http://d-nb.info/gnd/11657299X,Hermann,Heiberg,1840,1910,männlich,Heiberg_CharaktereundSchicksale.txt,1901.0,Roman,62515,Deutschland,https://www.projekt-gutenberg.org/heiberg/charakte/charakte.html,1840-1859,berlin,sunset
80,Bettauer_DasblaueMal_gutenberg.txt,1890.0,Das blaue Mal,Hugo Bettauer,http://d-nb.info/gnd/11851038X,Hugo,Bettauer,1872,1925,männlich,Bettauer_DasblaueMal_gutenberg.txt,1922.0,Roman,54697,Österreich,https://www.projekt-gutenberg.org/bettauer/blauemal/blauemal.html,1860-1879,vienna,sunset
81,Bettauer_DerKampfumWien_gutenberg.txt,1890.0,Der Kampf um Wien,Hugo Bettauer,http://d-nb.info/gnd/11851038X,Hugo,Bettauer,1872,1925,männlich,Bettauer_DerKampfumWien_gutenberg.txt,1924.0,Roman,78413,Österreich,https://www.projekt-gutenberg.org/bettauer/kampfwie/kampfwie.html,1860-1879,vienna,sunset
82,Bettauer_DieFreudloseGasse_gutenberg.txt,1890.0,Die Freudlose Gasse,Hugo Bettauer,http://d-nb.info/gnd/11851038X,Hugo,Bettauer,1872,1925,männlich,Bettauer_DieFreudloseGasse_gutenberg.txt,1924.0,Roman,48921,Österreich,https://www.projekt-gutenberg.org/bettauer/gasse/gasse.html,1860-1879,vienna,sunset
83,Bettauer_DieStadtohneJuden_gutenberg.txt,1890.0,Die Stadt ohne Juden,Hugo Bettauer,http://d-nb.info/gnd/11851038X,Hugo,Bettauer,1872,1925,männlich,Bettauer_DieStadtohneJuden_gutenberg.txt,1922.0,Roman,31359,Österreich,https://www.projekt-gutenberg.org/bettauer/stadtjud/stadtjud.html,1860-1879,vienna,sunset
